# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 114  of event 'cpu-clock:u'
# Event count (approx.): 2326530582
#
# Overhead; Symbol; IPC   [IPC Coverage]
0.88%; [.] 0x00000000000a0140; -      -
0.88%; [.] 0x00000000006c97cc; -      -
0.88%; [.] 0x00000000006da1ee; -      -
0.88%; [.] 0x0000000000706ab8; -      -
0.88%; [.] 0x00000000008413e0; -      -
0.88%; [.] 0x00000000008d2406; -      -
0.88%; [.] 0x0000000000979210; -      -
0.88%; [.] 0x000000000097992a; -      -
0.88%; [.] 0x0000000000982b50; -      -
0.88%; [.] 0x00000000009cc417; -      -
0.88%; [.] 0x00000000009f04a9; -      -
0.88%; [.] 0x00000000009fcacd; -      -
0.88%; [.] 0x00000000009fcb5c; -      -
0.88%; [.] 0x0000000000a41757; -      -
0.88%; [.] 0x0000000000a591b1; -      -
0.88%; [.] 0x0000000000a61a80; -      -
0.88%; [.] 0x0000000000a89847; -      -
0.88%; [.] 0x0000000000a8984b; -      -
0.88%; [.] 0x0000000000a89851; -      -
0.88%; [.] 0x0000000000a89853; -      -
0.88%; [.] 0x0000000000a89855; -      -
0.88%; [.] 0x0000000000ab7ec0; -      -
0.88%; [.] 0x0000000000af02cf; -      -
0.88%; [.] 0x0000000000b27e6e; -      -


#
# (Tip: To adjust path to source files to local file system use perf report --prefix=... --prefix-strip=...)
#
